Category,Sub-Category,Month,Millions of Dollars,Pipeline_exc_datetime
Meats and poultry,Beef and veal,1984/06/01,24721,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1984/07/01,24468,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1984/08/01,24431,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1984/09/01,24497,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1984/10/01,24226,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1984/11/01,24286,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1984/12/01,24018,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1985/01/01,24136,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1985/02/01,24117,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1985/03/01,23951,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1985/04/01,24120,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1985/05/01,23984,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1985/06/01,23880,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1985/07/01,23875,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1985/08/01,23975,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1985/09/01,24188,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1985/10/01,24200,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1985/11/01,24516,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1985/12/01,24787,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1986/01/01,25025,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1986/02/01,25078,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1986/03/01,25327,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1986/04/01,25176,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1986/05/01,25417,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1986/06/01,25540,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1986/07/01,25695,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1986/08/01,25480,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1986/09/01,25790,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1986/10/01,25987,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1986/11/01,25987,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1986/12/01,26051,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1987/01/01,25941,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1987/02/01,26199,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1987/03/01,26101,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1987/04/01,26178,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1987/05/01,26011,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1987/06/01,26058,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1987/07/01,25821,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1987/08/01,25866,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1987/09/01,25604,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1987/10/01,25450,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1987/11/01,25257,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1987/12/01,25195,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1988/01/01,25570,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1988/02/01,25773,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1988/03/01,26286,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1988/04/01,26065,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1988/05/01,26176,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1988/06/01,26083,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1988/07/01,26338,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1988/08/01,26552,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1988/09/01,26374,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1988/10/01,26449,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1988/11/01,26530,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1988/12/01,26336,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1989/01/01,26681,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1989/02/01,26686,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1989/03/01,26604,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1989/04/01,26535,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1989/05/01,26728,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1989/06/01,26662,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1989/07/01,26690,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1989/08/01,26733,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1989/09/01,26899,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1989/10/01,26759,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1989/11/01,26878,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1989/12/01,27132,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1990/01/01,26977,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1990/02/01,27233,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1990/03/01,27471,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1990/04/01,27295,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1990/05/01,27263,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1990/06/01,27497,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1990/07/01,27292,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1990/08/01,27282,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1990/09/01,27483,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1990/10/01,26973,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1990/11/01,27150,2023/08/31 04:02:51
Meats and poultry,Beef and veal,1990/12/01,26780,2023/08/31 04:02:51
Meats and poultry,Other meats,1976/01/01,6248,2023/08/31 04:02:51
Meats and poultry,Other meats,1976/02/01,6200,2023/08/31 04:02:51
Meats and poultry,Other meats,1976/03/01,6250,2023/08/31 04:02:51
Meats and poultry,Other meats,1976/04/01,6297,2023/08/31 04:02:51
Meats and poultry,Other meats,1976/05/01,6324,2023/08/31 04:02:51
Meats and poultry,Other meats,1976/06/01,6416,2023/08/31 04:02:51
Meats and poultry,Other meats,1976/07/01,6375,2023/08/31 04:02:51
Meats and poultry,Other meats,1976/08/01,6445,2023/08/31 04:02:51
Meats and poultry,Other meats,1976/09/01,6433,2023/08/31 04:02:51
Meats and poultry,Other meats,1976/10/01,6481,2023/08/31 04:02:51
Meats and poultry,Other meats,1976/11/01,6412,2023/08/31 04:02:51
Meats and poultry,Other meats,1976/12/01,6487,2023/08/31 04:02:51
Meats and poultry,Other meats,1977/01/01,6577,2023/08/31 04:02:51
Meats and poultry,Other meats,1977/02/01,6475,2023/08/31 04:02:51
Meats and poultry,Other meats,1977/03/01,6428,2023/08/31 04:02:51
Meats and poultry,Other meats,1977/04/01,6461,2023/08/31 04:02:51
Meats and poultry,Other meats,1977/05/01,6583,2023/08/31 04:02:51
Meats and poultry,Other meats,1977/06/01,6567,2023/08/31 04:02:51
Meats and poultry,Other meats,1977/07/01,6564,2023/08/31 04:02:51
Meats and poultry,Other meats,1977/08/01,6484,2023/08/31 04:02:51
Meats and poultry,Other meats,1977/09/01,6466,2023/08/31 04:02:51
Meats and poultry,Other meats,1977/10/01,6548,2023/08/31 04:02:51
Meats and poultry,Other meats,1977/11/01,6713,2023/08/31 04:02:51
Meats and poultry,Other meats,1977/12/01,6578,2023/08/31 04:02:51
Meats and poultry,Other meats,1978/01/01,6596,2023/08/31 04:02:51
Meats and poultry,Other meats,1978/02/01,6732,2023/08/31 04:02:51
Meats and poultry,Other meats,1978/03/01,6807,2023/08/31 04:02:51
Meats and poultry,Other meats,1978/04/01,6793,2023/08/31 04:02:51
Meats and poultry,Other meats,1978/05/01,6860,2023/08/31 04:02:51
Meats and poultry,Other meats,1978/06/01,6953,2023/08/31 04:02:51
Meats and poultry,Other meats,1978/07/01,6908,2023/08/31 04:02:51
Meats and poultry,Other meats,1978/08/01,6945,2023/08/31 04:02:51
Meats and poultry,Other meats,1978/09/01,7038,2023/08/31 04:02:51
Meats and poultry,Other meats,1978/10/01,6979,2023/08/31 04:02:51
Meats and poultry,Other meats,1978/11/01,7076,2023/08/31 04:02:51
Meats and poultry,Other meats,1978/12/01,7146,2023/08/31 04:02:51
Meats and poultry,Other meats,1979/01/01,7249,2023/08/31 04:02:51
Meats and poultry,Other meats,1979/02/01,7250,2023/08/31 04:02:51
Meats and poultry,Other meats,1979/03/01,7307,2023/08/31 04:02:51
Meats and poultry,Other meats,1979/04/01,7194,2023/08/31 04:02:51
Meats and poultry,Other meats,1979/05/01,7335,2023/08/31 04:02:51
Meats and poultry,Other meats,1979/06/01,7546,2023/08/31 04:02:51
Meats and poultry,Other meats,1979/07/01,7294,2023/08/31 04:02:51
Meats and poultry,Other meats,1979/08/01,7384,2023/08/31 04:02:51
Meats and poultry,Other meats,1979/09/01,7472,2023/08/31 04:02:51
Meats and poultry,Other meats,1979/10/01,7452,2023/08/31 04:02:51
Meats and poultry,Other meats,1979/11/01,7580,2023/08/31 04:02:51
Meats and poultry,Other meats,1979/12/01,7544,2023/08/31 04:02:51
Meats and poultry,Other meats,1980/01/01,7629,2023/08/31 04:02:51
Meats and poultry,Other meats,1980/02/01,7683,2023/08/31 04:02:51
Meats and poultry,Other meats,1980/03/01,7754,2023/08/31 04:02:51
Meats and poultry,Other meats,1980/04/01,7752,2023/08/31 04:02:51
Meats and poultry,Other meats,1980/05/01,7783,2023/08/31 04:02:51
Meats and poultry,Other meats,1980/06/01,7742,2023/08/31 04:02:51
Meats and poultry,Other meats,1980/07/01,7762,2023/08/31 04:02:51
Meats and poultry,Other meats,1980/08/01,7868,2023/08/31 04:02:51
Meats and poultry,Other meats,1980/09/01,7821,2023/08/31 04:02:51
Meats and poultry,Other meats,1980/10/01,7830,2023/08/31 04:02:51
Meats and poultry,Other meats,1980/11/01,7797,2023/08/31 04:02:51
Meats and poultry,Other meats,1980/12/01,7794,2023/08/31 04:02:51
Meats and poultry,Other meats,1981/01/01,7798,2023/08/31 04:02:51
Meats and poultry,Other meats,1981/02/01,7737,2023/08/31 04:02:51
Meats and poultry,Other meats,1981/03/01,7678,2023/08/31 04:02:51
Meats and poultry,Other meats,1981/04/01,7698,2023/08/31 04:02:51
Meats and poultry,Other meats,1981/05/01,7656,2023/08/31 04:02:51
Meats and poultry,Other meats,1981/06/01,7619,2023/08/31 04:02:51
Meats and poultry,Other meats,1981/07/01,7603,2023/08/31 04:02:51
Meats and poultry,Other meats,1981/08/01,7611,2023/08/31 04:02:51
Meats and poultry,Other meats,1981/09/01,7514,2023/08/31 04:02:51
Meats and poultry,Other meats,1981/10/01,7578,2023/08/31 04:02:51
Meats and poultry,Other meats,1981/11/01,7535,2023/08/31 04:02:51
Meats and poultry,Other meats,1981/12/01,7606,2023/08/31 04:02:51
Meats and poultry,Other meats,1982/01/01,7607,2023/08/31 04:02:51
Meats and poultry,Other meats,1982/02/01,7684,2023/08/31 04:02:51
Meats and poultry,Other meats,1982/03/01,7647,2023/08/31 04:02:51
Meats and poultry,Other meats,1982/04/01,7729,2023/08/31 04:02:51
Meats and poultry,Other meats,1982/05/01,7774,2023/08/31 04:02:51
Meats and poultry,Other meats,1982/06/01,7774,2023/08/31 04:02:51
Meats and poultry,Other meats,1982/07/01,7860,2023/08/31 04:02:51
Meats and poultry,Other meats,1982/08/01,7779,2023/08/31 04:02:51
Meats and poultry,Other meats,1982/09/01,7806,2023/08/31 04:02:51
Meats and poultry,Other meats,1982/10/01,7884,2023/08/31 04:02:51
Meats and poultry,Other meats,1982/11/01,7771,2023/08/31 04:02:51
Meats and poultry,Other meats,1982/12/01,7876,2023/08/31 04:02:51
Meats and poultry,Other meats,1983/01/01,7675,2023/08/31 04:02:51
Meats and poultry,Other meats,1983/02/01,7755,2023/08/31 04:02:51
Meats and poultry,Other meats,1983/03/01,7784,2023/08/31 04:02:51
Meats and poultry,Other meats,1983/04/01,7810,2023/08/31 04:02:51
Meats and poultry,Other meats,1983/05/01,7777,2023/08/31 04:02:51
Meats and poultry,Other meats,1983/06/01,7811,2023/08/31 04:02:51
Meats and poultry,Other meats,1983/07/01,7830,2023/08/31 04:02:51
Meats and poultry,Other meats,1983/08/01,7763,2023/08/31 04:02:51
Meats and poultry,Other meats,1983/09/01,7743,2023/08/31 04:02:51
Meats and poultry,Other meats,1983/10/01,7697,2023/08/31 04:02:51
Meats and poultry,Other meats,1983/11/01,7692,2023/08/31 04:02:51
Meats and poultry,Other meats,1983/12/01,7631,2023/08/31 04:02:51
Meats and poultry,Other meats,1984/01/01,7657,2023/08/31 04:02:51
Meats and poultry,Other meats,1984/02/01,7622,2023/08/31 04:02:51
Meats and poultry,Other meats,1984/03/01,7642,2023/08/31 04:02:51
Meats and poultry,Other meats,1984/04/01,7633,2023/08/31 04:02:51
Meats and poultry,Other meats,1984/05/01,7600,2023/08/31 04:02:51
Meats and poultry,Other meats,1984/06/01,7655,2023/08/31 04:02:51
Meats and poultry,Other meats,1984/07/01,7592,2023/08/31 04:02:51
Meats and poultry,Other meats,1984/08/01,7606,2023/08/31 04:02:51
Meats and poultry,Other meats,1984/09/01,7663,2023/08/31 04:02:51
Meats and poultry,Other meats,1984/10/01,7620,2023/08/31 04:02:51
Meats and poultry,Other meats,1984/11/01,7688,2023/08/31 04:02:51
Meats and poultry,Other meats,1984/12/01,7658,2023/08/31 04:02:51
Meats and poultry,Other meats,1985/01/01,7782,2023/08/31 04:02:51
Meats and poultry,Other meats,1985/02/01,7883,2023/08/31 04:02:51
Meats and poultry,Other meats,1985/03/01,7918,2023/08/31 04:02:51
