Category,Sub-Category,Month,Millions of Dollars,Pipeline_exc_datetime
Cereals and bakery products,Bakery products,1982/10/01,24504,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1982/11/01,24122,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1982/12/01,24391,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1983/01/01,23577,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1983/02/01,23603,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1983/03/01,23538,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1983/04/01,23528,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1983/05/01,23386,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1983/06/01,23490,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1983/07/01,23585,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1983/08/01,23464,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1983/09/01,23517,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1983/10/01,23516,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1983/11/01,23669,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1983/12/01,23670,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1984/01/01,23966,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1984/02/01,24084,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1984/03/01,24371,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1984/04/01,24554,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1984/05/01,24654,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1984/06/01,25021,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1984/07/01,24983,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1984/08/01,25170,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1984/09/01,25468,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1984/10/01,25403,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1984/11/01,25664,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1984/12/01,25550,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1985/01/01,25880,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1985/02/01,26113,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1985/03/01,26142,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1985/04/01,26490,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1985/05/01,26455,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1985/06/01,26409,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1985/07/01,26422,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1985/08/01,26500,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1985/09/01,26651,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1985/10/01,26520,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1985/11/01,26679,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1985/12/01,26732,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1986/01/01,26622,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1986/02/01,26252,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1986/03/01,26133,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1986/04/01,25644,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1986/05/01,25612,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1986/06/01,25502,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1986/07/01,25471,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1986/08/01,25122,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1986/09/01,25338,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1986/10/01,25499,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1986/11/01,25490,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1986/12/01,25580,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1987/01/01,25422,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1987/02/01,25658,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1987/03/01,25609,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1987/04/01,25804,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1987/05/01,25786,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1987/06/01,26012,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1987/07/01,25978,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1987/08/01,26246,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1987/09/01,26212,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1987/10/01,26271,2023/08/30 08:26:00
Cereals and bakery products,Bakery products,1987/11/01,26314,2023/08/30 08:26:00
